what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335105976402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335105983083
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335105985110
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1335106004094
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1335106037979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106042129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106110191
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335106114329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106115063
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1335106120287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1335106120494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106120516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106121665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106139612
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1335106141239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335106153965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335106158781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335106167920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335106191912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106192525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106199804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335106206535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106206938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106213448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106229009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1335106233500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106233529
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1335106234934
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1335106234990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106268643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335106270026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106270081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106273608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1335106278506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106278588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106279606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106280216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106283785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1335106296792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106296813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106297474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106299549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106299972
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.line",1335106301032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106301084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335106305272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335106306401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335106306842
